Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AL4896,*I* IDHW FY2021 SNAP-Ed,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,621632.22,128273.19,0
2,AL3999,*I*IDHW FY20 SNAP-ED,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,308885.86,63738.29,0
3,AL3914,NIFA-FY19 IDAHO EFNEP - State,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,228732.9,0,0
4,AL4463,NIFA FFY20 EFNEP,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,152753.09,0,0
5,AL2663,USDA FS Fire Food Project,Annie Roe,V00602850, USDA Forest Service,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,10263.25,933.04,0
6,AL5329,*I*IBCO Beef Consumption,Annie Roe,V00602850, Idaho Beef Council,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,3603.32,0,0
7,AL2297,*I*NIFA -FY18 IDAHO EFNEP - STATE P,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,1084.73,0,0
8,AL1988,*I*NIFA - FY17 Food Program - St Pa,Annie Roe,V00602850, National Institute of Food & Agriculture/USDA,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,213.94,0,0
9,AL2999,*I* IDHW 2019 SNAP-ED State,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,-974.75,-201.14,0
10,AL2009,*I* IDHW SNAP-Ed FY18,Annie Roe,V00602850, Idaho Dept. of Health & Welfare,CALS Family Consumer Science,CALS Col of Agri & Life Sciences,-1067.94,-220.37,0
